City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Auki,SB,75.78,scattered clouds,-8.7676,160.7034,Auki Motel
5,Butaritari,KI,82.56,light rain,3.0707,172.7902,Isles Sunset Lodge
11,Atuona,PF,80.24,overcast clouds,-9.8,-139.0333,Villa Enata
15,Aksu,CN,82.38,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
17,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Hithadhoo,MV,83.14,scattered clouds,-0.6,73.0833,Scoop Guest House
26,Pundaguitan,PH,77.43,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
28,Brownsville,US,85.01,scattered clouds,25.9018,-97.4975,University Inn & Suites
29,Barinitas,VE,81.88,broken clouds,8.7622,-70.4111,Hotel- Posada Valle Esmeralda C.A
32,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
34,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Aguadilla,PR,88.93,clear sky,18.4275,-67.1541,WSSM Surf House
41,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Labuhan,ID,79.45,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
52,Port-Gentil,GA,84.16,broken clouds,-0.7193,8.7815,Fengshui Residence
57,Merauke,ID,75.52,broken clouds,-8.4667,140.3333,
59,Xuddur,SO,81.77,overcast clouds,4.1213,43.8894,Banjanay Hotel
60,Komsomolskiy,UZ,85.42,scattered clouds,40.4272,71.7189,Ikathouse
61,Biak,ID,76.37,scattered clouds,-0.9131,122.8766,Penginapan Kim
64,Bengkulu,ID,76.6,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
69,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
72,Ugoofaaru,MV,84.02,overcast clouds,5.6667,73.0,Ungoofaaru Inn
76,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
83,Pandan,PH,80.58,overcast clouds,14.0453,124.1694,Bonifacio Lodge
87,Pedasi,PA,78.44,scattered clouds,7.5333,-80.0333,Selina Pedasi
89,Faanui,PF,79.79,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Saint George,US,83.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
97,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
98,Santa Isabel Do Rio Negro,BR,83.77,broken clouds,-0.4139,-65.0192,Hotel GSA
104,Vaini,TO,78.01,light rain,-21.2,-175.2,Keleti Beach Resort
108,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
116,Bjorkelangen,NO,82.69,clear sky,59.8848,11.5694,Construction And Import Norway As - Your house and cottage producer
129,Taitung,TW,81.7,heavy intensity rain,22.7583,121.1444,Taitung Bali Suites Hotel
132,Saint-Denis,FR,76.14,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
137,Aritao,PH,75.6,overcast clouds,16.2979,121.0345,DUL Hotel
138,Champasak,LA,80.67,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
139,Bontang,ID,80.49,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
148,Diamantino,BR,89.58,broken clouds,-14.4086,-56.4461,Hotel Delta
150,Bubaque,GW,78.03,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
151,Ixtapa,MX,81.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
153,Kavieng,PG,81.16,moderate rain,-2.5744,150.7967,Nusa Island Retreat
155,Raga,SS,88.43,broken clouds,8.4596,25.678,
156,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
159,Vila Velha,BR,87.75,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
163,Hinatuan,PH,75.79,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
171,Conceicao Do Mato Dentro,BR,83.68,broken clouds,-19.0372,-43.425,Hotel Vista Inn
174,Cervo,ES,77.2,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
175,Cascais,PT,84.06,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
177,Trairi,BR,85.66,clear sky,-3.2778,-39.2689,janelas do mar
181,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
184,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
187,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
191,Sorong,ID,79.61,light rain,-0.8833,131.25,waigo splash hotel
193,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
195,Telde,ES,77.22,few clouds,27.9924,-15.4192,El Baladero Apartamentos
202,Lorengau,PG,81.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
203,Samarai,PG,79.09,overcast clouds,-10.6167,150.6667,Nuli Sapi
208,Bure,ET,79.14,scattered clouds,10.7,37.0667,Holiday
209,Amahai,ID,78.3,light rain,-3.3333,128.9167,HOTEL ISABELA
210,Trinidad,BO,80.58,scattered clouds,-14.8333,-64.9,Hotel Piesta
213,Viseu,PT,82.85,few clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
