City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,93,90,0.0,overcast clouds
1,Auki,SB,-8.7676,160.7034,75.78,89,41,3.04,scattered clouds
2,Hobart,AU,-42.8794,147.3294,41.05,89,10,3.0,clear sky
3,Morehead,US,37.2711,-87.1764,61.0,52,1,1.99,clear sky
4,Hervey Bay,AU,-25.2986,152.8535,57.04,80,78,1.01,broken clouds
5,Butaritari,KI,3.0707,172.7902,82.56,79,86,14.09,light rain
6,Sitka,US,57.0531,-135.33,51.69,71,90,9.22,light rain
7,Idrinskoye,RU,54.3708,92.1358,46.54,60,81,2.3,broken clouds
8,Dikson,RU,73.5069,80.5464,31.69,92,100,13.13,overcast clouds
9,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,0.0,broken clouds
10,Bredasdorp,ZA,-34.5322,20.0403,61.92,67,100,2.55,overcast clouds
11,Atuona,PF,-9.8,-139.0333,80.24,60,100,6.96,overcast clouds
12,Donnacona,CA,46.6804,-71.7239,61.16,39,1,9.78,clear sky
13,Port Alfred,ZA,-33.5906,26.891,60.35,58,18,7.05,few clouds
14,Rikitea,PF,-23.1203,-134.9692,74.1,84,100,18.63,light rain
15,Aksu,CN,41.1231,80.2644,82.38,13,96,6.73,overcast clouds
16,San Ramon,US,37.7799,-121.978,63.09,81,1,2.82,clear sky
17,Hilo,US,19.7297,-155.09,80.28,86,90,4.61,overcast clouds
18,Lujan,AR,-34.5703,-59.105,58.98,47,10,6.98,clear sky
19,Cape Town,ZA,-33.9258,18.4232,65.12,45,20,4.14,few clouds
20,Saskylakh,RU,71.9167,114.0833,36.41,89,100,3.33,overcast clouds
21,Liberal,US,37.0431,-100.921,58.23,94,90,16.11,moderate rain
22,Hithadhoo,MV,-0.6,73.0833,83.14,73,49,16.82,scattered clouds
23,Adrar,MR,20.5022,-10.0711,107.46,11,67,8.68,broken clouds
24,Viedma,AR,-40.8135,-62.9967,54.68,40,36,14.56,scattered clouds
25,Onega,RU,63.9061,38.1404,45.7,48,19,4.88,few clouds
26,Pundaguitan,PH,6.3711,126.1689,77.43,87,100,3.67,moderate rain
27,Makakilo City,US,21.3469,-158.0858,71.92,83,1,4.61,clear sky
28,Brownsville,US,25.9018,-97.4975,85.01,79,40,5.99,scattered clouds
29,Barinitas,VE,8.7622,-70.4111,81.88,59,72,6.22,broken clouds
30,Clyde River,CA,70.4692,-68.5914,30.43,86,75,3.44,broken clouds
31,Noumea,NC,-22.2763,166.4572,70.0,99,100,9.28,overcast clouds
32,Puerto Colombia,CO,10.9878,-74.9547,87.89,74,97,6.26,overcast clouds
33,Romny,UA,50.751,33.4747,50.65,87,100,10.58,overcast clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,78.76,80,94,8.01,overcast clouds
35,Provideniya,RU,64.3833,-173.3,40.37,58,2,10.92,clear sky
36,Punta Arenas,CL,-53.15,-70.9167,35.71,60,75,9.08,broken clouds
37,East London,ZA,-33.0153,27.9116,62.96,50,29,6.78,scattered clouds
38,Chuy,UY,-33.6971,-53.4616,54.7,48,3,12.5,clear sky
39,Aguadilla,PR,18.4275,-67.1541,88.93,70,1,1.99,clear sky
40,Castro,BR,-24.7911,-50.0119,56.89,98,100,3.71,overcast clouds
41,Mahebourg,MU,-20.4081,57.7,75.49,83,20,1.14,few clouds
42,Jamestown,US,42.097,-79.2353,60.39,58,90,16.11,overcast clouds
43,Kontagora,NG,10.3999,5.4695,100.99,23,21,7.38,few clouds
44,Busselton,AU,-33.65,115.3333,55.09,75,100,15.57,overcast clouds
45,Genthin,DE,52.4,12.1667,71.29,53,61,7.7,broken clouds
46,Labuhan,ID,-6.8844,112.2051,79.45,82,100,3.98,overcast clouds
47,Cozieni,RO,45.3333,26.4833,62.33,66,100,2.19,overcast clouds
48,Ushuaia,AR,-54.8,-68.3,29.86,100,90,5.75,snow
49,Bluff,NZ,-46.6,168.3333,49.8,95,100,21.92,overcast clouds
50,Constitucion,CL,-35.3333,-72.4167,58.41,51,72,6.13,broken clouds
51,Birao,CF,10.2849,22.7882,102.45,16,37,3.87,scattered clouds
52,Port-Gentil,GA,-0.7193,8.7815,84.16,79,75,14.97,broken clouds
53,Lompoc,US,34.6391,-120.4579,65.12,82,90,6.91,overcast clouds
54,Brae,GB,60.3964,-1.353,49.91,77,7,12.24,clear sky
55,Mataura,NZ,-46.1927,168.8643,49.48,99,100,3.56,overcast clouds
56,General Cepeda,MX,25.3833,-101.45,65.61,44,33,6.29,scattered clouds
57,Merauke,ID,-8.4667,140.3333,75.52,86,76,12.48,broken clouds
58,Mehamn,NO,71.0357,27.8492,42.98,87,75,23.02,broken clouds
59,Xuddur,SO,4.1213,43.8894,81.77,43,89,10.11,overcast clouds
60,Komsomolskiy,UZ,40.4272,71.7189,85.42,21,25,18.41,scattered clouds
61,Biak,ID,-0.9131,122.8766,76.37,87,45,3.31,scattered clouds
62,Sistranda,NO,63.7256,8.834,51.76,78,88,5.91,overcast clouds
63,Upernavik,GL,72.7868,-56.1549,31.64,94,100,8.39,overcast clouds
64,Bengkulu,ID,-3.8004,102.2655,76.6,90,100,4.97,moderate rain
65,Severo-Kurilsk,RU,50.6789,156.125,38.89,97,100,13.02,light rain
66,Albany,US,42.6001,-73.9662,50.36,90,100,4.99,moderate rain
67,Wahpeton,US,46.2652,-96.6059,63.77,82,75,9.22,broken clouds
68,Asau,RO,46.4333,26.4,65.32,61,61,3.47,broken clouds
