City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Isla Vista,US,2021-05-23 21:48:31,34.4133,-119.861,81.34,53,1,6.91
1,Lebu,CL,2021-05-23 21:44:47,-37.6167,-73.65,53.15,78,100,2.26
2,Saskylakh,RU,2021-05-23 21:44:56,71.9167,114.0833,36.82,94,100,15.21
3,Aklavik,CA,2021-05-23 21:48:32,68.2191,-135.0107,36.43,72,89,22.37
4,Port Hardy,CA,2021-05-23 21:48:32,50.6996,-127.4199,55.58,76,75,11.5
5,San Patricio,US,2021-05-23 21:39:45,28.017,-97.5169,88.21,67,96,10.31
6,Butaritari,KI,2021-05-23 21:44:41,3.0707,172.7902,82.89,78,71,17.87
7,Santa Isabel,BR,2021-05-23 21:48:33,-23.3156,-46.2214,72.97,92,100,7.94
8,Kapaa,US,2021-05-23 21:44:18,22.0752,-159.319,81.48,69,40,3.0
9,Punta Arenas,CL,2021-05-23 21:44:03,-53.15,-70.9167,39.31,83,40,7.67
10,Nikolskoye,RU,2021-05-23 21:44:15,59.7035,30.7861,51.78,97,66,9.33
11,Santiago De Cuba,CU,2021-05-23 21:48:33,20.0247,-75.8219,83.52,78,40,12.66
12,Tiksi,RU,2021-05-23 21:48:34,71.6872,128.8694,32.4,77,60,9.95
13,Jamestown,US,2021-05-23 21:39:11,42.097,-79.2353,79.92,73,90,10.36
14,Mataura,NZ,2021-05-23 21:44:05,-46.1927,168.8643,49.48,93,12,1.07
15,Saint-Philippe,RE,2021-05-23 21:44:14,-21.3585,55.7679,71.15,79,94,13.76
16,Sarahan,IN,2021-05-23 21:48:35,31.5167,77.8,52.75,75,74,2.89
17,Tasiilaq,GL,2021-05-23 21:42:31,65.6145,-37.6368,33.96,96,100,13.98
18,Ponta Do Sol,PT,2021-05-23 21:44:54,32.6667,-17.1,65.03,71,95,9.93
19,Pevek,RU,2021-05-23 21:44:09,69.7008,170.3133,30.67,81,13,5.44
20,Mugan,CN,2021-05-23 21:48:36,35.9404,101.3842,41.74,69,1,1.92
21,Hithadhoo,MV,2021-05-23 21:44:09,-0.6,73.0833,83.84,72,98,12.01
22,Port Elizabeth,ZA,2021-05-23 21:45:01,-33.918,25.5701,52.09,71,40,3.44
